CORP,FLEET,UNIT,LOG
1,123026,726393,8256083
98,72631,14,8256733
1,161,60745,8257168
1,2209,100281,8257356
1,103754,9910137,8257685
1,3066,100287,8257869
1,7680,11333,8258461
1,4682,28274,8258467
98,306843,15156,8259426
1,4702,21020,8259961
1,4682,28277,8259966
1,123026,726397,8260701
1,123026,726399,8260718
1,3496,2415030,8260929
1,3496,2415031,8260941
1,2344,100981,8261103
1,3496,2403074,8261440
1,3496,2403075,8261441
1,3943,100482,8261542
1,123026,726400,8267436
1,6403,H1060   ,8267774
1,6403,H1458   ,8268244
1,6403,H1598   ,8268448
1,5778,S1394   ,8268622
1,5778,S1417   ,8268645
1,5778,S1456   ,8268681
1,5778,S1478   ,8268703
1,5778,S1488   ,8268714
1,6403,S1492   ,8268718
1,5778,S1494   ,8268720
1,5778,S1136   ,8268791
1,6403,S1183   ,8268841
1,5778,S1264   ,8268960
1,5778,S1291   ,8268968
1,5778,S1292   ,8268969
1,5778,S1363   ,8269044
1,123026,726401,8269589
1,123026,726402,8269596
1,2344,101240,8270023
1,2344,101322,8270200
1,5410,43,8271063
1,1524,87488,8271492
1,1524,87490,8271495
1,1524,87520,8271531
1,6667,87539,8271551
1,3703,210062,8272571
1,1524,87559,8272915
1,3066,100565,8273313
1,3943,1439,8273327
1,3983,27047,8273368
98,313551,20100004,8273369
1,101373,381,8273448
1,123026,726403,8273494
1,123026,726405,8273512
98,308261,2010190,8273625
98,308261,2010192,8273643
1,123026,726407,8273697
1,2344,101555,8273738
1,2344,101600,8274990
1,102218,100292,8275054
1,5529,10081,8275999
1,5529,10082,8276000
1,101373,385,8277710
1,101373,386,8277712
1,101373,391,8277717
1,1781,70622,8278446
1,123026,726422,8278482
1,102218,100316,8280256
1,3943,1443,8280268
1,916,40329,8280861
1,3943,1444,8281466
1,3943,1442,8281467
98,75017,11022,8283582
1,8199,371181,8285578
1,8199,371223,8285731
1,108360,9101,8286399
1,9032,82075,8287170
1,9032,82080,8287183
1,101373,396,8288992
1,101373,401,8289054
1,101373,410,8289124
1,101380,373,8289192
1,101373,415,8289596
98,313650,20105057,8291271
1,4426,21108,8291460
1,100003,22004,8292376
1,100003,22007,8292380
1,1512,10017,8292505
1,100077,913,8295876
1,123026,726437,8296825
1,123026,726439,8296842
98,308361,228,8297298
1,123026,726441,8299060
1,123026,726443,8299082
1,123026,726444,8299104
1,4426,21139,8301803
1,123026,726460,8302441
1,102314,141,8309042
1,123026,726468,8310327
1,123026,726471,8310733
1,8254,29205,8311448
1,8235,201122,8311910
1,100077,930,8312020
98,309235,2010003,8313312
98,72459,26,8314148
1,123026,726475,8314674
1,6403,T10243  ,8314730
1,123026,726476,8314828
1,6403,T10458  ,8314957
1,4426,21184,8316364
1,5984,1015,8317447
98,308361,239,8318025
1,3496,1116006,8318330
1,5778,T10844  ,8318433
1,5778,T11143  ,8318808
1,161,61076,8319407
1,161,61159,8319569
1,986,26369,8320415
1,123026,726483,8320934
1,2344,101828,8322366
98,309176,45,8322387
1,2344,101890,8322471
1,2344,102003,8322718
1,5778,T11473  ,8322923
1,5778,T11496  ,8322950
1,5778,T11668  ,8323202
1,5778,T11730  ,8323272
1,5778,T11939  ,8323517
1,2344,102189,8324021
1,5778,T12102  ,8324306
1,2344,102457,8325034
1,123026,726488,8325186
1,3652,93643,8325214
1,123026,726489,8325326
1,102218,100358,8327813
1,508123,10052,8328519
1,7680,21024,8330537
1,2209,11142,8331465
98,72407,20100027,8331921
1,3983,27050,8332059
1,3983,27051,8333121
1,3104,91000,8333243
1,3104,91005,8333262
1,3104,91008,8333285
1,8199,371290,8333705
1,3104,91027,8334220
1,917,21208,8334248
